No.,Time,Source,Destination,Protocol,Length,Info,Label
5506,518.657848,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
5507,518.658041,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
5554,523.587778,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
5559,523.588114,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
5606,528.607952,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
5607,528.608159,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
5656,533.608077,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
5658,533.690087,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
5662,533.690278,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
5667,533.690512,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
5714,538.708197,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
5715,538.708351,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
5765,543.708247,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
5770,543.881918,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
5775,543.882208,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
5779,543.882383,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
5830,548.908312,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
5831,548.908506,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
5878,553.767088,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
5883,553.767476,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
5930,558.808442,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
5931,558.808629,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
5982,563.808492,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
5986,564.070758,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
5990,564.070955,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
5995,564.071138,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
6040,569.108642,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
6041,569.108841,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
6090,574.029855,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
6095,574.03019,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
6142,579.058757,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
6143,579.058955,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
6192,584.058933,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
6197,584.326817,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
6202,584.327059,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
6206,584.327225,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
6255,589.359115,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
6256,589.359301,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
