No.,Time,Source,Destination,Protocol,Length,Info,Label
7219,619.160703,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
7220,619.170489,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
7223,619.176286,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
7229,619.182236,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
7281,624.210837,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
7282,624.211027,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
7336,629.210917,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
7341,629.218918,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
7393,634.261113,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
7394,634.261326,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
7450,639.311102,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
7451,639.332878,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
7454,639.338761,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
7460,639.344254,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
7513,644.361296,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
7514,644.3615,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
7568,649.411294,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
7569,649.452871,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
7572,649.458731,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
7578,649.464276,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
7630,654.511429,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
7631,654.511585,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
