No.,Time,Source,Destination,Protocol,Length,Info,Label
12932,1110.020775,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
12936,1110.026728,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
12941,1110.030781,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
12993,1115.069098,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
12994,1115.06929,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
13048,1120.118946,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
13049,1120.127628,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
13052,1120.133441,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
13058,1120.137951,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
13110,1125.169034,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
13111,1125.169219,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
13167,1130.168966,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
13172,1130.176784,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
13224,1135.219331,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
13225,1135.219518,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
13280,1140.269544,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
13281,1140.274688,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
13284,1140.280672,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
13290,1140.2849,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
13342,1145.319413,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
13343,1145.319599,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
13397,1150.369588,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
13398,1150.392008,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
13402,1150.39802,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
13407,1150.40198,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
13461,1155.419475,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
13462,1155.419667,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
13516,1160.469978,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
13517,1160.493452,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
13520,1160.499151,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
13526,1160.503946,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
13558,1163.584488,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
13563,1163.592226,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
13617,1168.619776,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
13618,1168.619978,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
13642,1170.611486,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
13647,1170.621545,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
