No.,Time,Source,Destination,Protocol,Length,Info,Label
5399,435.371227,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
5460,440.371146,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
5461,440.371317,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
5468,440.472577,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
5473,440.472881,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
5534,445.521034,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
5535,445.521232,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
5594,450.52106,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
5595,450.558734,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
5599,450.558963,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
5604,450.559185,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
5663,455.571351,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
5664,455.571581,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
5722,460.571464,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
5723,460.571698,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
5729,460.697924,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
5734,460.698237,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
5795,465.721289,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
5796,465.721489,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
5856,470.721355,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
5859,470.807619,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
5861,470.807849,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
5868,470.808106,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
5925,475.821426,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
5926,475.821634,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
5985,480.821465,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
5987,480.899237,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
5991,480.899436,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
5996,480.899606,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
6055,485.921592,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
6056,485.921778,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
6117,490.921677,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
6119,491.01193,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
6122,491.012122,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
6128,491.012319,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
6187,496.021784,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
6188,496.02198,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
6247,501.021818,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
6249,501.119418,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
6252,501.119575,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
6258,501.119798,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
6317,506.12191,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
6318,506.122132,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
6377,511.121973,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
6378,511.134895,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
6383,511.135164,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
6387,511.135451,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
6446,516.172289,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
6447,516.172478,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
6506,521.172376,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
6507,521.172564,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
6511,521.23516,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
6516,521.235416,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
6573,526.272207,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
6574,526.272367,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
6635,531.272413,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
6636,531.272603,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
6640,531.35281,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
6645,531.353148,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
6702,536.372609,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
6703,536.372802,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
6764,541.372698,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
6765,541.372884,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
6769,541.460393,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
6774,541.460734,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
6831,546.472551,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
6832,546.472718,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
6893,551.4726,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
6894,551.472791,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
6899,551.560331,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
6904,551.560583,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
6964,556.572894,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
6965,556.57308,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
7024,561.572999,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
7025,561.57319,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
7029,561.69678,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
7034,561.697103,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
7093,566.722912,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
7094,566.723096,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
7109,567.803291,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
7114,567.803702,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
7162,571.817059,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
7167,571.817381,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
7224,576.823077,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
7225,576.823273,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
7284,581.823145,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
7286,581.900672,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
7290,581.900903,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
7295,581.901115,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
7352,586.923153,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
7353,586.923348,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
7416,591.92319,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
7418,592.025363,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
7421,592.025559,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
7427,592.025756,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
7486,597.073319,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
7487,597.073514,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
7546,602.073372,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
7548,602.131486,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
7551,602.131707,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
7557,602.131871,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
7614,607.173641,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
7615,607.173834,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
7676,612.173768,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
7680,612.299663,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
7682,612.299779,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
7689,612.300005,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
7748,617.32369,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
7749,617.323884,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
7806,622.250705,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
7811,622.25104,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
7868,627.273754,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
7869,627.273926,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
7930,632.273858,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
7931,632.274011,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
