No.,Time,Source,Destination,Protocol,Length,Info,Label
23316,2161.204502,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
23317,2161.204652,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
23361,2165.887551,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
23366,2165.887873,172.24.10.211,172.24.10.1,DNP 3.0,211,Response,1
23373,2166.27861,172.24.10.1,172.24.10.211,DNP 3.0,69,Confirm,1
23424,2171.304495,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
23425,2171.304678,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
23472,2176.065272,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
23477,2176.065647,172.24.10.211,172.24.10.1,DNP 3.0,211,Response,1
23483,2176.576986,172.24.10.1,172.24.10.211,DNP 3.0,69,Confirm,1
23535,2181.604938,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
23536,2181.605136,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
23579,2186.120967,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
23584,2186.12131,172.24.10.211,172.24.10.1,DNP 3.0,211,Response,1
23590,2186.460881,172.24.10.1,172.24.10.211,DNP 3.0,69,Confirm,1
23642,2191.504771,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
23643,2191.504956,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
23690,2196.309919,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
23695,2196.310298,172.24.10.211,172.24.10.1,DNP 3.0,211,Response,1
23701,2196.87913,172.24.10.1,172.24.10.211,DNP 3.0,69,Confirm,1
23709,2197.223292,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
23714,2197.223614,172.24.10.211,172.24.10.1,DNP 3.0,211,Response,1
23718,2197.526391,172.24.10.1,172.24.10.211,DNP 3.0,69,Confirm,1
23768,2202.554943,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
23769,2202.555138,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
23807,2206.378594,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
23812,2206.378949,172.24.10.211,172.24.10.1,DNP 3.0,211,Response,1
23818,2206.852507,172.24.10.1,172.24.10.211,DNP 3.0,69,Confirm,1
23868,2211.855099,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
23869,2211.855321,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
23914,2216.460328,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
23919,2216.460574,172.24.10.211,172.24.10.1,DNP 3.0,211,Response,1
23930,2217.223761,172.24.10.1,172.24.10.211,DNP 3.0,69,Confirm,1
23982,2222.255308,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
23983,2222.255505,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
