No.,Time,Source,Destination,Protocol,Length,Info,Label
5397,468.137541,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
5451,473.187122,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
5453,473.225324,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
5455,473.230242,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
5462,473.233819,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
5514,478.237142,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
5515,478.237349,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
5573,483.287043,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
5575,483.33047,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
5578,483.336371,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
5584,483.3406,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
5636,488.387575,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
5637,488.38778,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
5689,493.121307,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
5694,493.130919,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
5746,498.136096,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
5747,498.136288,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
5801,503.187986,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
5807,503.564756,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
5809,503.569672,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
5816,503.57565,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
5868,508.587954,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
5869,508.588168,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
5923,513.513386,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
5928,513.520413,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
5980,518.537724,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
5981,518.53792,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
