No.,Time,Source,Destination,Protocol,Length,Info,Label
51943,3196.788626,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
51948,3196.793786,172.24.10.210,172.24.10.1,DNP 3.0,148,Response,0
52011,3201.819692,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
52012,3201.819871,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
52078,3206.647834,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
52083,3206.652674,172.24.10.210,172.24.10.1,DNP 3.0,148,Response,0
52152,3211.669755,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
52153,3211.669865,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
52233,3216.644223,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
52238,3216.64945,172.24.10.210,172.24.10.1,DNP 3.0,148,Response,0
52306,3221.669954,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
52307,3221.67007,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
52377,3226.720141,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
52384,3227.335399,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
52389,3227.338969,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
52393,3227.34215,172.24.10.210,172.24.10.1,DNP 3.0,148,Response,0
52469,3232.3703,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
52470,3232.370417,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
52541,3236.567898,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
52546,3236.573181,172.24.10.210,172.24.10.1,DNP 3.0,148,Response,0
52615,3241.570484,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
52616,3241.570662,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
52678,3246.620478,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
52679,3246.620647,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
52700,3247.570937,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
52705,3247.576112,172.24.10.210,172.24.10.1,DNP 3.0,148,Response,0
52783,3252.620496,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
52784,3252.620699,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
52854,3257.309168,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
52859,3257.314544,172.24.10.210,172.24.10.1,DNP 3.0,148,Response,0
52921,3262.320708,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
52922,3262.320823,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
52997,3267.142691,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
53002,3267.148089,172.24.10.210,172.24.10.1,DNP 3.0,148,Response,0
53086,3272.171071,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
53087,3272.171254,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
53160,3277.221001,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
53167,3277.778928,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
53172,3277.782482,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
53176,3277.786932,172.24.10.210,172.24.10.1,DNP 3.0,148,Response,0
53240,3282.821059,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
53241,3282.82119,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
53323,3287.7431,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
53328,3287.748307,172.24.10.210,172.24.10.1,DNP 3.0,148,Response,0
53403,3292.771467,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
53404,3292.77165,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
53472,3297.794005,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
53477,3297.801331,172.24.10.210,172.24.10.1,DNP 3.0,148,Response,0
53545,3302.823098,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
53546,3302.823267,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
53628,3307.873155,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
53630,3307.996442,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
53635,3308.000033,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
53639,3308.004557,172.24.10.210,172.24.10.1,DNP 3.0,148,Response,0
53713,3313.023156,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
53714,3313.023229,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
53780,3318.073332,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
53788,3318.541309,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
53793,3318.544764,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
53797,3318.547886,172.24.10.210,172.24.10.1,DNP 3.0,148,Response,0
53874,3323.571946,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
53875,3323.572094,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
53948,3328.379736,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
53953,3328.384949,172.24.10.210,172.24.10.1,DNP 3.0,148,Response,0
54017,3333.421861,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
54018,3333.422049,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
54077,3338.426976,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
54082,3338.432085,172.24.10.210,172.24.10.1,DNP 3.0,148,Response,0
54162,3343.47199,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
54163,3343.472169,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
54231,3348.326461,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
54236,3348.331591,172.24.10.210,172.24.10.1,DNP 3.0,148,Response,0
54300,3353.372542,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
54301,3353.372727,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
54371,3358.422331,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
54376,3358.501038,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
54381,3358.504756,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
54385,3358.509388,172.24.10.210,172.24.10.1,DNP 3.0,148,Response,0
54466,3363.522496,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
54467,3363.522577,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
54537,3368.572865,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
54543,3368.86875,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
54548,3368.872242,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
54552,3368.876846,172.24.10.210,172.24.10.1,DNP 3.0,148,Response,0
54616,3373.922664,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
54617,3373.92277,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
54691,3378.972945,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
54692,3378.973065,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
54704,3379.494358,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
54709,3379.499538,172.24.10.210,172.24.10.1,DNP 3.0,148,Response,0
54783,3384.522819,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
54784,3384.52302,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
54849,3389.384678,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
54854,3389.389892,172.24.10.210,172.24.10.1,DNP 3.0,148,Response,0
54918,3394.423008,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
54919,3394.423123,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
54995,3399.227627,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
55000,3399.232745,172.24.10.210,172.24.10.1,DNP 3.0,148,Response,0
55082,3404.273167,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
55083,3404.273303,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
